Feature_Index,Feature_Name,Away_from_shins,Hips_rise_first,Collide_with_knees,Lower_back_rounding,Mean_Importance
32,Body_Length (DeltaRatio),-0.004451717051508819,-0.004368866783169834,-0.0015380313199104823,0.0026420352354057375,-0.0019291449797958493
50,Bar_Y (ZScore),-0.004451717051508819,-0.019569406048420945,-0.0030829596412556004,0.019005266819040023,-0.0020247039805363354
55,Hip_Knee_Vel_Diff (ZScore),0.003366008242615348,-0.011018256403302118,-0.0015380313199104823,0.0008832127381668275,-0.002076766685607606
64,Bar_Y (DeltaSquare),0.0,-0.0029408782070784456,-0.0073775055679287105,0.0015295626110581884,-0.002197205290987242
30,Right_Knee_Angle (DeltaRatio),-0.0009873876232870948,0.0,0.004573170731707266,-0.013674310297845604,-0.0025221317973563584
66,Bar_Knee_Y_Disp (DeltaSquare),0.0011857243163643227,-0.003598140960503815,-0.0016891891891891442,-0.006167146974063398,-0.0025671882018480086
20,Right_Arm_Torso_Angle (Delta),0.0,-0.003598140960503815,-0.002923162583518879,-0.003983238928086386,-0.00262613561802727
1,Left_Hip_Angle (Norm),-0.0066334991708125735,0.00578034682080919,-0.0073775055679287105,-0.0028818443804035088,-0.0027781255745839006
22,Bar_Y (Delta),-0.0033167495854062867,-0.003598140960503815,-0.009332579185520329,0.004886244079327695,-0.002840306413025684
8,Bar_Y (Norm),-0.005590461447614881,-0.016412056151940635,0.002936241610738244,0.007252023269141206,-0.0029535631799190165
13,Hip_Knee_Vel_Diff (Norm),-0.00419072124375397,0.0,-0.00324492099322804,-0.005282696189469971,-0.003179584606612995
60,Body_Length (DeltaSquare),-0.007669640776832076,-0.0021781017005948478,-0.00324492099322804,-0.002212992246269696,-0.003826413929231165
27,Hip_Knee_Vel_Diff (Delta),0.002355923600763199,-0.001428476513188559,-0.01603982300884954,-0.00045286125977772596,-0.0038913092952631567
24,Bar_Knee_Y_Disp (Delta),-0.0032346518233913324,0.0,-0.009332579185520329,-0.003096845682815208,-0.003916019172931717
18,Body_Length (Delta),-0.007773976187721354,0.000711948875290247,-0.006012304250559319,-0.003096845682815208,-0.004042794311451409
68,Torso_Angle (DeltaSquare),-0.013005579655090749,0.0028736581337737155,-0.016788939051918694,0.010480897718673998,-0.004109990713640432
19,Left_Arm_Torso_Angle (Delta),-0.007773976187721354,0.00072875432697872,-0.006193693693693714,-0.003730886350833962,-0.0042424504763175774
61,Left_Arm_Torso_Angle (DeltaSquare),-0.004363855652865123,-0.0037171551827033245,-0.007759593679458221,-0.0013316677179833203,-0.004293068058252497
37,Bar_Knee_X_Disp (DeltaRatio),-0.005496798567867001,-0.0021781017005948478,-0.004634831460674116,-0.004872182945286463,-0.004295478668605607
62,Right_Arm_Torso_Angle (DeltaSquare),0.001125717988424313,-0.007975203149870214,0.0015311804008908414,-0.01378220973556965,-0.0047751286240311774
47,Left_Arm_Torso_Angle (ZScore),-0.0021855402897213994,-0.004368866783169834,-0.007567264573991039,-0.006366293488999419,-0.005121991283970423
69,Hip_Knee_Vel_Diff (DeltaSquare),-0.010737366088271139,-0.003598140960503815,-0.007759593679458221,0.0,-0.005523775182058294
67,Shoulder_Hip_X_Disp (DeltaSquare),-0.0066334991708125735,-0.005780346820809301,-0.007567264573991039,-0.004811214770673589,-0.006198081334071626
26,Torso_Angle (Delta),-0.017740753596359293,-0.003598140960503815,-0.0063775510204081565,-0.002200902248325032,-0.007479336956399074
28,Left_Knee_Angle (DeltaRatio),-0.004451717051508819,-0.007175602949970106,-0.007759593679458221,-0.012603928583258761,-0.007997710566048977
