Feature_Index,Feature_Name,Correct,Away_from_shins,Hips_rise_first,Collide_with_knees,Lower_back_rounding,Mean_Importance
20,Right_Arm_Torso_Angle (Delta),0.017025346724055535,-0.0033167495854062867,-0.007175602949970106,-0.0015380313199104823,0.0008832127381668275,0.0011756351213870974
36,Bar_Y (DeltaRatio),0.004661780607953858,0.0,-0.0007415022160804918,0.0015311804008908414,0.0,0.0010902917585528416
31,Right_Hip_Angle (DeltaRatio),0.009756097560975618,-0.0010580705288981695,-0.0021781017005948478,0.0014013452914798386,-0.003096845682815208,0.0009648849880294463
22,Bar_Y (Delta),-0.007151314231588879,6.567820961200788e-05,0.00578034682080919,0.007227891156462607,-0.0028818443804035088,0.0006081515149782835
16,Right_Knee_Angle (Delta),0.007221425155428007,-0.0010580705288981695,-0.005001904698809234,-0.0001404494382022392,0.0015295626110581884,0.0005101126201153105
18,Body_Length (Delta),0.009756097560975618,-0.008918248469245604,0.0014450867052022698,0.003055555555555589,-0.0028818443804035088,0.0004913293944168728
38,Bar_Knee_Y_Disp (DeltaRatio),0.007221425155428007,-0.00995024875621886,0.0021655478003030915,0.0,0.0028818443804035088,0.0004637137159831495
52,Bar_Knee_Y_Disp (ZScore),0.012266161496566452,0.001125717988424313,-0.01599677375991404,-0.006012304250559319,0.010059268120276244,0.0002884139189587298
6,Right_Arm_Torso_Angle (Norm),0.009756097560975618,-0.006534981856394562,0.003618999748680518,0.0014013452914798386,-0.007749880787012997,9.831599154568327e-05
1,Left_Hip_Angle (Norm),0.007221425155428007,0.0010651125956463448,-0.001428476513188559,-0.0073775055679287105,-0.0011096757096955567,-0.00032582400794769486
68,Torso_Angle (DeltaSquare),0.02682926829268295,-0.0011294579152961726,-0.003598140960503815,0.0014013452914798386,-0.025371692428608816,-0.00037373554404920297
3,Right_Hip_Angle (Norm),0.0,-0.0021855402897213994,0.0021655478003030915,0.0,-0.003096845682815208,-0.0006233676344467032
57,Left_Hip_Angle (DeltaSquare),0.007598499061913677,-0.004451717051508819,0.003618999748680518,-0.006193693693693714,-0.003771764578681003,-0.0006399353026578681
19,Left_Arm_Torso_Angle (Delta),0.016829268292682942,-0.006534981856394562,-0.001428476513188559,0.0,-0.012401279555163569,-0.0007070939264127496
2,Right_Knee_Angle (Norm),-0.021247654784240178,0.002247714595068784,0.018307256793178794,-0.0049829157175398375,0.001297240490324092,-0.000875671724641669
45,Right_Hip_Angle (ZScore),-0.004571697890891957,-0.004451717051508819,0.00578034682080919,-0.006012304250559319,0.0028818443804035088,-0.0012747055983494792
55,Hip_Knee_Vel_Diff (ZScore),0.007221425155428007,-0.006437435155911775,-0.0030459312588695386,-0.0016891891891891442,-0.007249768056684536,-0.002240179701045397
17,Right_Hip_Angle (Delta),-0.002016885553470904,6.567820961200788e-05,-0.001428476513188559,-0.006012304250559319,-0.0019944851035598177,-0.0022772946422333186
60,Body_Length (DeltaSquare),0.009756097560975618,-0.004363855652865123,-0.0021781017005948478,-0.004807692307692291,-0.010988830283621187,-0.002516476476759566
29,Left_Hip_Angle (DeltaRatio),-0.007824197053851734,-0.0021855402897213994,-0.001428476513188559,0.0015311804008908414,-0.0035584513218894775,-0.0026930969555520657
40,Torso_Angle (DeltaRatio),-0.004571697890891957,-0.006534981856394562,0.003618999748680518,-0.001997716894977186,-0.004811214770673589,-0.002859322332851355
24,Bar_Knee_Y_Disp (Delta),0.0005134788189987693,-0.004363855652865123,-0.007175602949970106,-0.007954545454545436,-0.0033100041169205063,-0.00445810587106048
61,Left_Arm_Torso_Angle (DeltaSquare),0.0,-0.008698954431576311,0.0,-0.004464285714285698,-0.014008056064972463,-0.0054342592421668945
